Name,latitude,longitude,total_weight,total_quantity,user_id,types,skills,locality_key,delivery_preference,priority,area_id,return_weight_used
Balaji department store,13.0286308,77.5069117,238,7,5865,,delivery,560058#shivapur-bengaluru_karnataka,10,,,false
mathaji wholsale,13.0786991,77.4242392,316,10,10881,,delivery,562123#arishinakunte-bengaluru_karnataka,10,25,5083,false
samaya traders,13.0783127,77.4211366,130,5,8508,,delivery,562123#arishinakunte-bengaluru_karnataka,10,25,5083,false
Kalpavruksha Rice trader,13.027899026434142,77.49208487570286,70,3,8052,,delivery,560073#nelagadaranahalli-bengaluru_karnataka,10,25,5083,false
Tharun provisions store,13.080283617473395,77.45058909058571,5.51,18,10958,,delivery,562123#nagrur-bengaluru_karnataka,10,25,5083,false
MANJU STORE,13.090799,77.6330439,234,9,8314,,delivery,560077#sampigehalli-bengaluru_karnataka,10,20,5076,false
durga store,13.0973121,77.626258,150.25,4,8657,,delivery,560064#agrahara-bengaluru_karnataka,10,20,5076,false
R. R. M. store,13.0662486,77.6009702,193.14,23,8078,,delivery,560092#amruthhalli-bengaluru_karnataka,10,20,5076,false
Sri Ranganatha Provision Store,13.077185,77.6071092,161,7,10260,,delivery,560092#amruthhalli-bengaluru_karnataka,10,20,5076,false
BYRAVESHWARA RICE TRADERS,13.0574164,77.5985046,363,13,8203,,delivery,560092#amruthnagarbsector-bengaluru_karnataka,10,20,5076,false
Karni Provision Store,13.1208075,77.6260591,330,15,8854,,delivery,560064#kogilu-bengaluru_karnataka,10,20,5076,false
nethra store,13.1192676,77.619953,39.089999999999996,11,8799,,delivery,560064#maruthinagar-bengaluru_karnataka,10,20,5076,false
JAI HANUMAN PROVISION STORES,13.0831292,77.6184133,368,16,8206,,delivery,560064#agrahara-bengaluru_karnataka,10,20,5076,false
LAKSHMI PROVISION STORE,13.077562,77.6532573,546,22,9703,,delivery,560077#kothnur-bengaluru_karnataka,10,20,5076,false
Shankar store,13.0659172,77.6197907,57.2,6,8452,,delivery,560064#jakkurcross-bengaluru_karnataka,10,20,5076,false
SRI CHOWDESHWARI PROVISION STORE,13.0583405,77.6031705,89.6,15,8260,,delivery,560024#bhuvaneshwarinagara-bengaluru_karnataka,10,20,5076,false
SLV RICE TRADERS,13.069959,77.6314176,244,8,8289,,delivery,560077#sampigehalli-bengaluru_karnataka,10,,,false
WELCOME STORE,13.0716935,77.6356984,84,6,8372,,delivery,560077#sampigehalli-bengaluru_karnataka,10,20,5076,false
sri annapoorna rice Traders,13.119656841831286,77.62836791574955,192,8,10759,,delivery,560064#maruthinagar-bengaluru_karnataka,10,20,5076,false
NARAHARI SUPER MARKET,13.1043856,77.6076272,60,2,7737,,delivery,560064#maruthinagar-bengaluru_karnataka,10,20,5076,false
Krishna rice traders,13.122302005004746,77.62927684932947,180,6,8855,,delivery,560064#kogilu-bengaluru_karnataka,10,20,5076,false
NEW UDUPI CAFE VEG,13.0698603,77.642179,100,2,10025,,delivery,560077#knarayanapura-bengaluru_karnataka,10,20,5076,false
BYRAVESHWARA TRADERS,13.0893955,77.6191701,182,7,8171,,delivery,560064#agrahara-bengaluru_karnataka,10,20,5076,false
BHANU RICE AND OIL TRADERS,13.1204546,77.6197421,180,7,8886,,delivery,560064#kogilu-bengaluru_karnataka,10,20,5076,false
Sri Ganesh provision store,13.0931983,77.6010384,100,2,7743,,delivery,560064#surabhilayout-bengaluru_karnataka,10,20,5076,false
sri sarveshwara Rice Traders,13.1169547,77.6254395,200,4,8716,,delivery,560064#kogilu-bengaluru_karnataka,10,20,5076,false
MAHADEV PROVISION STORE,13.098269,77.6261763,200,4,8082,,delivery,560064#agrahara-bengaluru_karnataka,10,20,5076,false
prakruthi provision store,13.1029272,77.6109935,233.5,13,10897,,delivery,560064#kogilu-bengaluru_karnataka,10,20,5076,false
Yashode Provisions,13.0958875,77.6268076,158.8,14,8066,,delivery,560064#agrahara-bengaluru_karnataka,10,20,5076,false
Halli Masala,12.987246,77.4479156,408.25,20,8013,,delivery,560091#machohalli-bengaluru_karnataka,10,30,5080,false
Lakshmi devi Provision store,12.9894736,77.4603374,129.7,42,5104,,delivery,560091#machohalli-bengaluru_karnataka,10,30,5080,false
SRINIVASA PROVISION STORE,12.9924433,77.4518814,350.14,56,5027,,delivery,560091#machohalli-bengaluru_karnataka,10,30,5080,false
Padmavati provision store,12.974581,77.422102,300,8,6497,,delivery,562130#honenahalli-bengaluru_karnataka,10,30,5080,false
Durga Store,12.9962909,77.4521481,82.63,15,5060,,delivery,560091#machohalli-bengaluru_karnataka,10,30,5080,false
Sri Hemagiri Provision store,12.9898447,77.4590612,126.25000000000001,25,5313,,delivery,560091#machohalli-bengaluru_karnataka,10,30,5080,false
Sri Nanjundeshwara traders ,12.9909429,77.4650765,314,13,5063,,delivery,560091#gollarahatti-bengaluru_karnataka,10,30,5080,false
Hare Krishna provision store,12.9907776,77.4610099,315,19,9522,,delivery,560091#machohalli-bengaluru_karnataka,10,,,false
SKStores,12.9651562,77.4006735,195,9,5317,,delivery,562130#tavarekere-bengaluru_karnataka,10,30,5080,false
Ramdev provision Stores,12.9698885,77.4424083,156,6,9078,,delivery,560091#seegihalli-bengaluru_karnataka,10,30,5080,false
Devi provision store,12.978234,77.430962,676,26,6498,,delivery,562130#chanenahalli-bengaluru_karnataka,10,30,5080,false
mangalam store,12.9880494,77.5047719,300,10,5391,,delivery,560091#sunkadekatte-bengaluru_karnataka,10,30,5080,false
AMBIKA PROVISION STORE,12.99923,77.470841,133,17,6447,,delivery,560091#kachohalli-bengaluru_karnataka,10,30,5080,false
Mahalakshmi Provision stores,12.9891123,77.4492243,740,20,6130,,delivery,560091#machohalli-bengaluru_karnataka,10,30,5080,false
Krishna Provision Store,12.9971982,77.4516165,1142,43,6330,,delivery,560091#machohalli-bengaluru_karnataka,10,30,5080,false
MR Hoskote Dum Biriyani,12.9845883,77.4863507,69,11,10561,,delivery,560091#anjananagar-bengaluru_karnataka,10,30,5080,false
S.M Provision Store,12.9651652,77.4006177,111.95,8,5332,,delivery,562130#honenahalli-bengaluru_karnataka,10,30,5080,false
Sri Krishna Provision Store,12.982892,77.4788096,56,2,5464,,delivery,560091#bharathnagar-bengaluru_karnataka,10,30,5080,false
Sri Pooja provision store,12.966191,77.437138,100.60000000000001,30,6481,,delivery,562130#chanenahalli-bengaluru_karnataka,10,30,5080,false
Mataji Rice Traders,12.983531,77.44352,138.60000000000002,60,6499,,delivery,560091#seegihalli-bengaluru_karnataka,10,30,5080,false
NEW M C M Store,12.9853913,77.5679511,98,5,7598,,delivery,560021#okalipuram-bengaluru_karnataka,10,28,5085,false
NM DEPARTMENTAL STORE,13.098005,77.5816967,115,4,8191,,delivery,560064#yelahanka-bengaluru_karnataka,10,16,5084,false
Byraveshwara Rice Traders,13.0707972,77.565613,348,10,6993,,delivery,560097#tindlu-bengaluru_karnataka,10,,,false
Sri kempamma devi provision store,13.1276397,77.5291168,12,3,10115,,delivery,560097#lakshmipura-bengaluru_karnataka,10,16,5084,false
sri chowdeshwari corner store,13.1087892,77.592023,76,2,7454,,delivery,560064#yelahanka-bengaluru_karnataka,10,16,5084,false
SRI SAPTAMATHRUKA PROVISION STORE,13.151352,77.562019,112.97,14,9721,,delivery,560064#yelahanka-bengaluru_karnataka,10,16,5084,false
CHANDRA PROVISION STORE,13.1106062,77.5912914,234,9,7426,,delivery,560064#yelahanka-bengaluru_karnataka,10,16,5084,false
Kaveri department store,13.1154843,77.5649499,780,30,7402,,delivery,560064#yelahanka-bengaluru_karnataka,10,16,5084,false
SRI RAGAVENDRA IYENGAR CAKE HOUSE,13.0936755,77.5500803,29.619999999999997,3,7814,,delivery,560097#vidyaranyapura-bengaluru_karnataka,10,16,5084,false
Vihaan Mart,13.142510882215742,77.5861831381917,364,14,10117,,delivery,560064#gantiganahalli-bengaluru_karnataka,10,16,5084,false
TRUE WORTH SUPER MARKET,13.071376721585427,77.56229806691408,109.81,23,8302,,delivery,560097#vidyaranyapura-bengaluru_karnataka,10,16,5084,false
kavyashree rice traders,13.1023908,77.5949147,54.9,10,7347,,delivery,560064#yelahanka-bengaluru_karnataka,10,16,5084,false
sujatha tiffin center,13.109824003931601,77.59156465530396,82,3,9970,,delivery,560064#yelahanka-bengaluru_karnataka,10,16,5084,false
Sri SLV Mart,13.108955085163183,77.56031826138496,89.45,10,7587,,delivery,560097#vidyaranyapura-bengaluru_karnataka,10,16,5084,false
Madhuri provision store,13.1473073,77.5615423,44.71999999999999,29,9718,,delivery,560064#yelahanka-bengaluru_karnataka,10,16,5084,false
Buy N Save,13.093337,77.547433,36.9,31,6701,,delivery,560097#mspalya-bengaluru_karnataka,10,16,5084,false
Girish provision stores,13.0636789,77.571327,380.0199999999999,29,6775,,delivery,560097#tindlu-bengaluru_karnataka,10,16,5084,false
CHAYAPUTHARA GENERAL STORE,13.097639,77.54295,38.61,12,6709,,delivery,560097#lakshmipura-bengaluru_karnataka,10,16,5084,false
CHIKAPETE DONNE BIRYANI ADDA,13.1348528,77.5693906,40,4,9883,,delivery,560064#yelahanka-bengaluru_karnataka,10,16,5084,false
Mathaji Department store,13.0786483,77.5616918,53.370000000000005,6,6804,,delivery,560097#vidyaranyapura-bengaluru_karnataka,10,16,5084,false
Jai Ganesh Provision Store,13.0792714,77.5600217,120,4,7261,,delivery,560097#vidyaranyapura-bengaluru_karnataka,10,16,5084,false
